parado,gedad,nforma3,prov
1,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
1,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
1,De 35 a 54,Est. Universitarios,Álava
1,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est primarios o menos,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,55 o más,Est primarios o menos,Álava
1,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 35 a 54,Est primarios o menos,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
1,De 35 a 54,Est primarios o menos,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,55 o más,Est. Secundarios,Álava
1,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est primarios o menos,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
1,55 o más,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
1,De 35 a 54,Est primarios o menos,Álava
1,De 35 a 54,Est primarios o menos,Álava
1,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
1,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
1,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
1,De 35 a 54,Est. Universitarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,55 o más,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
1,55 o más,Est. Universitarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
0,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est primarios o menos,Álava
1,De 35 a 54,Est primarios o menos,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 16 a 34,Est. Universitarios,Álava
1,De 16 a 34,Est. Secundarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Universitarios,Álava
0,De 35 a 54,Est. Secundarios,Álava
